country,year,age_range,population
Australia,1990,20-64,10009521
Australia,2020,20-64,15252637
Australia,2050,20-64,18068706.5
Brazil,1990,20-64,75746091
Brazil,2020,20-64,132844194.5
Brazil,2050,20-64,133435630.5
Canada,1990,20-64,16888663
Canada,2020,20-64,22968862.5
Canada,2050,20-64,25578122.5
China,1990,20-64,636050368
China,2020,20-64,909184530
China,2050,20-64,718087272
France,1990,20-64,32869416
France,2020,20-64,35705308.5
France,2050,20-64,33377322
Germany,1990,20-64,50208488.5
Germany,2020,20-64,49651517.5
Germany,2050,20-64,41293257.5
India,1990,20-64,415711384.5
India,2020,20-64,809534459.5
India,2050,20-64,1011335083
Italy,1990,20-64,34537114
Italy,2020,20-64,35083527
Italy,2050,20-64,24989290
Japan,1990,20-64,76288841.5
Japan,2020,20-64,67565168
Japan,2050,20-64,49173820
Dem. People's Rep. of Korea,1990,20-64,12146825.5
Dem. People's Rep. of Korea,2020,20-64,16315626
Dem. People's Rep. of Korea,2050,20-64,14765821.5
Russian Federation,1990,20-64,89019731
Russian Federation,2020,20-64,90371803.5
Russian Federation,2050,20-64,73461725
United Kingdom,1990,20-64,33448232
United Kingdom,2020,20-64,38885606.5
United Kingdom,2050,20-64,38947648
United States of America,1990,20-64,146233740.5
United States of America,2020,20-64,197288451.5
United States of America,2050,20-64,207825870.5
Australia,1990,65+,1889564
Australia,2020,65+,4167171.5
Australia,2050,65+,7658191
Brazil,1990,65+,6729875.5
Brazil,2020,65+,19807546.5
Brazil,2050,65+,50638334.5
Canada,1990,65+,3104582.5
Canada,2020,65+,6826948.5
Canada,2050,65+,11683094
China,1990,65+,61099277.5
China,2020,65+,179516386.5
China,2050,65+,394976093
France,1990,65+,7952162
France,2020,65+,13546967.5
France,2050,65+,18790763
Germany,1990,65+,11825691
Germany,2020,65+,18302157.5
Germany,2050,65+,24058271
India,1990,65+,35519120.5
India,2020,65+,93171418.5
India,2050,65+,250276486
Italy,1990,65+,8487337.5
Italy,2020,65+,13906517.5
Italy,2050,65+,19405744
Japan,1990,65+,15336684
Japan,2020,65+,37051381
Japan,2050,65+,38922172.5
Dem. People's Rep. of Korea,1990,65+,913874
Dem. People's Rep. of Korea,2020,65+,2871534.5
Dem. People's Rep. of Korea,2050,65+,5632349
Russian Federation,1990,65+,14737615.5
Russian Federation,2020,65+,22288290.5
Russian Federation,2050,65+,32447532
United Kingdom,1990,65+,8990992.5
United Kingdom,2020,65+,12555218
United Kingdom,2050,65+,18742430.5
United States of America,1990,65+,30475787
United States of America,2020,65+,54501215.5
United States of America,2050,65+,88698077
