State,Date,Deaths
California,2015-1,12
California,2015-2,14
California,2015-3,34
California,2015-4,28
California,2015-5,12
California,2015-6,13
California,2015-7,30
California,2015-8,24
California,2015-9,28
California,2015-10,28
California,2015-11,23
California,2015-12,30
Texas,2015-1,26
Texas,2015-2,16
Texas,2015-3,6
Texas,2015-4,14
Texas,2015-5,19
Texas,2015-6,20
Texas,2015-7,15
Texas,2015-8,18
Texas,2015-9,10
Texas,2015-10,13
Texas,2015-11,10
Texas,2015-12,8
Florida,2015-1,2
Florida,2015-2,9
Florida,2015-3,9
Florida,2015-4,8
Florida,2015-5,10
Florida,2015-6,7
Florida,2015-7,10
Florida,2015-8,5
Florida,2015-9,10
Florida,2015-10,10
Florida,2015-11,5
Florida,2015-12,6
